lat,lon,count_A,count_B,count_C,location
67.9673440876493,24.1122195302226,48,4,0,FI00356
66.3216999996054,29.40157,47,5,0,FI00352
64.8458,-147.72727,52,0,0,NCore
63.723301,-148.967499,37,15,0,Denali NPP
63.5086,-116.0078,40,2,0,Snare Rapids
63.1430999995677,31.04695,48,2,0,FI00428
60.4253199995396,22.09611,39,13,0,FI00460
59.9524,10.487777,39,9,0,Lommedalen
59.7792299995335,21.37395,42,10,0,FI00349
60.1465,-113.63769,43,7,0,Wood Buffalo Park
60.13922,-1.185319,52,0,0,Lerwick
58.7083,-111.1764,40,12,0,Fort Chipewyan
57.4046329995131,21.591989,46,1,0,LV0007A
57.0466523886598,9.93087546594131,52,0,0,DK0053A
56.9506059995096,24.115872,51,1,0,LV0019A
56.7328,-111.39,52,0,0,Athabasca Valley
56.7522,-111.4761,51,1,0,Patricia McInnes
57.1889,-111.6406,52,0,0,Fort McKay
56.82266,-5.101102,47,5,0,Fort William
57.15736,-2.094278,51,1,0,Aberdeen
56.2903769274682,8.42740110752183,52,0,0,DK0031R
56.1597834472854,10.1936326865463,51,1,0,DK0056A
56.5231749995064,21.004694,51,1,0,LV0012A
56.0083351095027,21.88694763,51,0,0,LT00053
56.3097228995048,22.33139038,52,0,0,LT00023
55.9378356895022,23.30802727,52,0,0,LT00022
56.5102029995063,27.333369,52,0,0,LV0008A
55.945589,-3.182186,47,5,0,Edinburgh St Leonards
55.3963873093883,10.3891959238991,51,1,0,DK0046A
55.6941046893584,12.0886287783964,52,0,0,DK0012R
55.7002810664676,12.5614121124285,51,1,0,DK0045A
55.6743033303032,12.571113917497,52,0,0,DK0034A
55.6899999995005,21.17946,52,0,0,LT00033
55.2799999994977,23.95778,52,0,0,LT00043
55.7249999995007,24.36557,52,0,0,LT00012
55.4633331294989,26.00416946,51,0,0,LT00051
55.340367,-115.895667,44,6,0,Joussard
55.50333,-106.72167,51,1,0,Pinehouse Lake
55.865782,-4.243631,51,1,0,Glasgow Townhead
55.657472,-3.196527,49,3,0,Peebles
54.924967,8.308208,44,0,0,DEUB001
54.746388216707,10.7363947812113,50,2,0,DK0054A
54.412987,11.215994,52,0,0,DESH013
54.8951279994952,23.986222,52,0,0,LT00041
55.0722219994964,24.283894,52,0,0,LT00042
54.8836135894951,23.8358345,52,0,0,LT00044
54.6861114494939,25.2108345,52,0,0,LT00002
54.7152786294941,25.28944397,52,0,0,LT00003
54.4494,-90.2175,49,0,0,Pickle Lake
54.43951,-7.900328,52,0,0,Lough Navar
54.59965,-5.928833,47,1,0,Belfast Centre
54.88361,-1.406878,40,12,0,Sunderland Silksworth
53.896117,9.156908,52,0,0,DESH035
53.670553,9.585874,52,0,0,DESH001
53.924712,9.532635,52,0,0,DESH015
53.638291,9.998009,52,0,0,DEHH033
53.63074,10.110595,52,0,0,DEHH047
53.835492,10.695936,52,0,0,DESH023
54.09323,10.240596,52,0,0,DESH008
54.161555,12.174105,50,1,0,DEMV007
54.17133,12.080003,50,1,0,DEMV021
53.78175,12.175512,51,0,0,DEMV019
54.09262,12.099553,51,0,0,DEMV022
53.817775,12.064708,50,1,0,DEMV004
54.323514,13.342138,51,0,0,DEMV026
54.0924987794903,24.28972816,51,0,0,LT00052
53.9147,-122.7419,50,2,0,PRG Plaza 400
54.294639,-109.209214,44,8,0,Flat Valley
53.76559,-2.680353,52,0,0,Preston
52.9169,5.57349,52,0,0,Balk-Trophornsterweg
53.3304,6.27681,52,0,0,Kollumerwaard-Hooge Zuidwal
52.8757,6.93243,52,0,0,Valthermond-Noorderdiep
53.2465,6.60894,52,0,0,Groningen-Nijensteinheerd
53.36235,7.20726,51,1,0,DENI029
53.562455,8.569405,52,0,0,DEHB005
52.99796,7.94257,52,0,0,DENI053
53.59617,8.09059,52,0,0,DENI031
53.1177,8.69506,52,0,0,DEHB013
53.077151,8.81578,52,0,0,DEHB001
53.060045,8.916966,52,0,0,DEHB002
53.180946,8.625456,52,0,0,DEHB004
53.480927,9.857223,52,0,0,DEHH050
53.52418,9.68503,52,0,0,DENI063
53.56414,9.967882,52,0,0,DEHH008
53.570583,10.214871,52,0,0,DESH016
53.24696,10.4565,52,0,0,DENI062
52.95702,11.16705,52,0,0,DENI060
53.302352,11.362965,51,0,0,DEMV017
52.99875,11.73846,52,0,0,DEBB063
52.93189,12.809481,51,0,0,DEBB048
53.396348,12.463929,49,1,0,DEMV024
53.520456,14.257407,50,1,0,DEMV012
53.064262,14.285139,52,0,0,DEBB029
52.9822,-122.4922,52,0,0,Quesnel Senior Secon
53.6072,-115.8769,49,3,0,Carrot Creek
53.5936,-116.3928,50,2,0,Edson
53.5028,-113.6111,49,3,0,Edmonton South
53.5472,-113.3681,48,4,0,Edmonton East
53.5453,-113.4992,51,1,0,Edmonton Central
53.201694,-105.75203,52,0,0,PRINCE ALBERT
53.3047,-60.3644,52,0,0,Goose Bay
53.326444,-9.903917,49,3,0,Mace Head
53.187222,-6.121667,51,1,0,IE0141A
53.353889,-6.278056,51,1,0,IE0028A
52.614193,1.301976,47,5,0,Norwich Lakenfields
52.2944,1.463497,41,11,0,Sibton
52.3597,4.86621,52,0,0,Amsterdam-Vondelpark
52.448,4.81671,52,0,0,Zaandam-Wagenschotpad
52.3275,4.71501,52,0,0,Hoofddorp-Hoofdweg
